"can","index","on","qc","ab","bc","ns","sk","nl","mb","nb"
116,1,59,74,56,53,51,52,67,64,51
156,2,79,94,74,64,68,66,82,72,66
198,3,103,121,97,73,73,72,102,96,68
257,4,145,139,119,73,90,86,120,103,70
341,5,177,181,146,103,110,95,135,127,81
441,6,189,219,195,186,122,104,148,167,91
597,7,214,628,226,231,127,134,152,182,95
727,8,258,1040,259,271,147,156,175,194,98
873,9,318,1339,301,348,173,176,183,203,101
1087,10,377,1629,358,424,193,184,195,204,103
1331,11,425,2021,419,424,207,193,203,217,105
1471,12,503,2498,486,472,236,206,217,221,108
2091,13,588,2840,542,617,262,220,226,224,111
2819,14,688,3430,621,659,293,231,228,230,112
3409,15,858,4162,661,725,310,249,232,242,112
4043,16,993,4611,690,792,342,253,236,242,114
4757,17,1144,5518,754,884,373,260,239,244,116
5655,18,1355,6101,871,884,407,271,241,244,116
6320,19,1706,6997,968,970,428,278,242,246,117
7448,20,1966,7944,1075,1013,445,285,244,250,117
8591,21,2851,8580,1181,1066,474,289,244,250,117
10190,22,3288,9340,1250,1121,517,298,247,253,118
11778,23,3686,10031,1348,1174,549,300,252,253,118
12980,24,4021,10912,1373,1203,579,301,256,254,118
14409,25,4441,11677,1423,1203,606,304,256,255,118
15915,26,4845,12292,1451,1266,649,305,256,257,118
17165,27,5391,12846,1500,1291,675,307,256,262,118
18562,28,5838,13557,1569,1336,721,313,256,263,118
19853,29,6397,14248,1651,1370,737,315,256,267,118
21403,30,6804,14860,1732,1410,772,316,256,271,118
22715,31,7293,15857,1870,1445,827,320,256,272,118
23962,32,7726,16798,1996,1445,850,326,257,272,118
25060,33,8220,17520,2158,1490,865,331,258,273,118
26428,34,8780,18354,2397,1517,873,341,258,275,118
27888,35,9302,19315,2562,1561,900,349,258,279,118
29234,36,9821,20121,2803,1575,915,353,258,279,118
30966,37,10447,20959,2908,1618,935,365,258,280,118
32849,38,11008,21832,3095,1647,947,366,259,280,118
34379,39,11539,22606,3401,1647,959,383,259,281,119
36013,40,12214,23259,3720,1699,963,389,259,283,120
37856,41,12706,24099,4017,1724,971,415,259,283,120
39387,42,13418,24969,4232,1795,985,421,259,284,120
41357,43,13995,25746,4475,1824,991,433,259,284,120
43220,44,14485,26589,4691,1853,998,467,260,287,120
44844,45,14913,27537,4850,1948,1007,487,260,289,120
46263,46,15400,28647,5165,1948,1008,512,260,289,120
47850,47,15856,29655,5355,1998,1011,531,260,289,120
49482,48,16314,31858,5573,2053,1018,544,260,289,120
50948,49,16777,32617,5669,2087,1019,553,260,289,120
52641,50,17168,33412,5762,2111,1020,564,260,289,120
54214,51,17720,34322,5836,2144,1024,568,260,289,120
56170,52,18158,35237,5893,2170,1026,573,260,290,120
57748,53,18401,36150,5963,2170,1034,577,260,290,120
60308,54,18950,36986,6017,2223,1037,582,260,290,120
61791,55,19330,37721,6098,2231,1040,590,260,290,121
63059,56,19779,38469,6157,2254,1043,591,260,292,121
64546,57,20260,39225,6253,2285,1044,592,260,292,121
66056,58,20690,39930,6300,2314,1045,592,260,292,121
67524,59,21010,40723,6345,2329,1046,599,260,292,121
68766,60,21325,41420,6407,2329,1047,620,260,292,122
69933,61,21687,42183,6457,2352,1048,622,260,292,123
71120,62,22031,42918,6514,2359,1049,627,260,294,126
72278,63,22388,43627,6586,2376,1050,630,260,294,128
73427,64,22747,44197,6643,2391,1052,632,260,294,129
74651,65,23140,44775,6682,2406,1053,634,261,295,132
75829,66,23513,45495,6715,2427,1055,634,261,295,132
77062,67,23843,46140,6734,2427,1055,636,261,297,133
78188,68,24151,46838,6767,2443,1056,637,261,298,135
79264,69,24653,47411,6799,2445,1056,639,261,298,136
80379,70,25092,47984,6817,2466,1057,643,261,300,136
81458,71,25496,48598,6859,2478,1057,644,261,300,136
82631,72,25993,49137,6878,2506,1058,645,261,300,137
83841,73,26463,49701,6900,2516,1058,645,261,300,146
85041,74,26801,50230,6925,2516,1058,646,261,300,147
85997,75,27220,50649,6954,2529,1058,647,261,300,151
87024,76,27546,51059,6978,2540,1059,648,261,300,153
88000,77,27864,51353,6992,2548,1059,649,261,301,154
88894,78,28247,51590,7010,2557,1060,649,261,303,157
89888,79,28618,51882,7044,2561,1061,653,261,304,157
90820,80,28945,52141,7057,2572,1061,655,261,304,160
91597,81,29317,52396,7076,2572,1061,657,261,304,163
92402,82,29781,52623,7091,2596,1061,659,261,306,163
93220,83,30194,52848,7098,2600,1061,662,261,308,163
93890,84,30546,53046,7138,2621,1061,663,261,311,163
94579,85,30889,53185,7138,2627,1061,664,261,313,164
95204,86,31305,53341,7202,2628,1061,680,261,313,164
95886,87,31556,53485,7229,2628,1061,680,261,314,164
96405,88,32029,53666,7276,2628,1061,689,261,314,165
97105,89,32341,53824,7316,2656,1061,703,261,315,165
97720,90,32620,53952,7346,2666,1061,711,261,316,165
98179,91,32879,54053,7383,2678,1061,721,261,318,165
98660,92,33116,54146,7433,2692,1061,740,261,322,165
99099,93,33328,54263,7447,2708,1061,741,261,322,165
99543,94,33574,54383,7482,2708,1061,752,261,324,165
99990,95,33749,54550,7530,2708,1061,756,261,325,165
100345,96,33956,54674,7579,2744,1061,759,261,325,165
100722,97,34146,54765,7625,2755,1061,771,261,325,165
101054,98,34342,54834,7673,2774,1061,777,261,325,165
101445,99,34530,54883,7704,2781,1062,778,261,325,165
101825,100,34739,54937,7736,2788,1063,779,261,325,165
102265,101,34920,55079,7781,2788,1064,785,261,325,165
102631,102,35077,55079,7825,2788,1064,785,261,325,165
102929,103,35301,55079,7851,2819,1064,795,261,325,165
103287,104,35539,55079,7888,2832,1064,796,261,325,166
103644,105,35740,55390,7957,2846,1065,796,261,325,166
103962,106,35918,55458,7996,2865,1065,796,261,325,166
104331,107,36033,55524,8067,2875,1066,805,261,325,166
104507,108,36197,55593,8108,2875,1066,806,262,325,166
104750,109,36449,55682,8108,2875,1066,808,262,330,167
105042,110,36687,55784,8202,2899,1066,813,262,330,168
105689,111,36838,55863,8259,2910,1066,815,262,331,168
105968,112,36962,55937,8259,2910,1066,816,262,336,168
106159,113,37121,55997,8259,2934,1066,836,262,336,168
106516,114,37286,56079,8389,2947,1067,867,262,336,169
106841,115,37402,56216,8436,2947,1067,872,262,354,170
107062,116,37526,56316,8482,2947,1067,877,262,366,170
107267,117,37710,56407,8519,2978,1067,919,262,374,170
107696,118,37794,56521,8596,2990,1067,932,262,375,170
107900,119,37958,56621,8596,3008,1067,938,263,384,170
108213,120,38079,56730,8596,3028,1067,943,264,NA,NA
108535,121,38198,56859,8826,3053,1067,962,264,NA,NA
108859,122,38279,57001,8912,3053,1067,970,265,NA,NA
109032,123,38345,57142,8994,3053,1067,1030,NA,NA,NA
109233,124,38601,57300,9114,3115,NA,1072,NA,NA,NA
109913,125,38684,57466,9219,3128,NA,1099,NA,NA,NA
110216,126,38788,57616,9219,3149,NA,NA,NA,NA,NA
110559,127,38909,57796,9219,3170,NA,NA,NA,NA,NA
111006,128,39084,57938,9587,3197,NA,NA,NA,NA,NA
111474,129,39283,58080,9728,3197,NA,NA,NA,NA,NA
111837,130,39430,58243,9861,3197,NA,NA,NA,NA,NA
112156,131,39584,NA,9975,3297,NA,NA,NA,NA,NA
112966,132,39772,NA,10086,3328,NA,NA,NA,NA,NA
113527,133,39908,NA,NA,3362,NA,NA,NA,NA,NA
114041,134,40053,NA,NA,3392,NA,NA,NA,NA,NA
114515,135,40262,NA,NA,3419,NA,NA,NA,NA,NA
115063,136,NA,NA,NA,NA,NA,NA,NA,NA,NA
